description,id,intitule,rome_code,rome_libelle,appellation_libelle,type_contrat,nature_contrat,experience_exigee,experience_libelle,lieu_libelle,code_postal,commune,latitude,longitude,salaire_libelle,salaire_min,salaire_max,salaire_unite,duree_travail,alternance,nombre_postes,nom_entreprise,secteur_activite,date_creation,date_actualisation,salaire_extrait
"LECASUD recrute un(e) expert(e) DATA 
Missions principales
Au sein de la DSI, vous serez en charge de :

Conception et développement d'outils de contrôle de données :

Mettre en place des solutions pour garantir la cohérence des données entre les logiciels.
Automatiser les processus métiers pour améliorer l'efficacité opérationnelle.
Collaboration avec les équipes métiers :

Participer à la définition des besoins, au développement, au déploiement et au support des outils.
Rédiger les cahiers des charges et les spécifications techniques.
Documentation et amélioration continue :

Documenter les processus existants et cibles après développement.
Identifier les règles de validation de cohérence et mettre en place des contrôles automatiques.
Gestion des exceptions et optimisation :

Implémenter des solutions robustes pour gérer les données manquantes, les erreurs de format, etc.
Délivrer un code optimisé, documenté et conforme aux règles de sécurité et d'architecture.
Support et communication :

Assurer le support utilisateur et la surveillance des flux.
Communiquer clairement sur les limites et les capacités des solutions proposées.
Culture de l'amélioration continue :

Participer à la diffusion d'une culture axée sur l'amélioration continue des données et des systèmes d'information.
Profil recherché
Compétences techniques :

Langages et bases de données : Maîtrise de SQL, PostgreSQL, Progress, et Python.
Outils de gestion de versions : Expérience avec GitLab.
Connaissances appréciées : Supply Chain Data, GCP (Google Cloud Platform), Tableau.
Compétences humaines :

Qualités rédactionnelles et relationnelles : Capacité à travailler dans un environnement exigeant.
Organisation et gestion des priorités : Maîtrise des délais et des priorités.
Analyse et proactivité : Aptitude à analyser, anticiper et proposer des solutions innovantes.
Autonomie et rigueur : Capacité à travailler de manière autonome et rigoureuse.
Travail d'équipe et communication : Diplomatie, aisance relationnelle et maîtrise de la communication orale et écrite.
Adaptabilité et réactivité : Capacité à faire face aux aléas et aux dysfonctionnements.
Formation et expérience :

Diplôme : Bac +5 en informatique.
Expérience : 3 à 5 ans (hors alternance/stage) dans un poste similaire.
Avantages de l'entreprise
Rémunération attractive : 42 k€ à 46 k€ bruts annuels selon expérience + intéressement (jusqu'à 1 mois de salaire supplémentaire).
Avantages sociaux : Mutuelle, prévoyance collective, parcours d'intégration personnalisé.
Environnement de travail : Entreprise en constante évolution avec des perspectives de carrière interne.
Culture d'entreprise : Performance collective récompensée, innovation et amélioration continue au cœur de nos valeurs.
Rejoignez-nous si vous aimez les défis et souhaitez contribuer à la transformation de nos systèmes d'information !

POUR POSTULER >> Se présenter au FORUM AU COEUR DE L'EMPLOI du Mardi 03 mars 2026 de 09H00 à 12H00 à l'Espace Jean-Louis DIEUX au Luc en Provence avec un CV à jour.
",204QDGQ,Expert DATA (H/F),M1811,Data engineer,Ingénieur / Ingénieure big data,CDI,Contrat travail,E,3 An(s),83 - LE LUC,83340,83073,43.394515,6.313219,Annuel de 42000.00 Euros à 46000.00 Euros sur 12 mois,,,,"35H/semaine
Travail selon un rythme irrégulier et des pics d'activité",False,1,FORUM EMPLOI LE LUC 03/03/2026,Centrales d'achat alimentaires,2026-02-26T11:28:31.164Z,2026-03-02T08:57:24.695Z,42000.0
"FinancePeople, cabinet de recrutement spécialisé, recherche pour un groupe financier international spécialisé dans le rachat de créance, un Senior Data Engineer F/H en CDI.

Au sein de l'équipe Data, vos missions seront les suivantes : 

Analyser, consolider et préparer les données selon les besoins métiers et les spécifications fonctionnelles

Concevoir, développer et maintenir les pipelines de données et processus ETL

Optimiser les modèles de données existants et garantir la qualité, la fiabilité et la disponibilité des données

Déployer et administrer la section locale de la plateforme data du Groupe en lien avec les équipes internationales

Collaborer avec les équipes internes et globales et documenter les processus, flux et rapports de donnée

Profil recherché :
Diplômé(e) d'un Bac +5, vous justifiez d'une expérience senior en ingénierie ou architecture data, avec une forte culture veille et amélioration continue.
Vous concevez et opérez des architectures data cloud (Azure, AWS, GCP), appuyées sur des pipelines ETL, des bases relationnelles et non relationnelles (MySQL, MSSQL) et des outils d'orchestration comme Airflow ou Azure Data Factory.
Vous maîtrisez le développement en Python et les technologies de traitement de données à grande échelle (Delta Lake, PySpark, Polars), ainsi que les enjeux de gouvernance, d'intégration et de modélisation des données.
À l'aise en français comme en anglais, vous faites preuve de rigueur, de sens du détail et partagez des valeurs fortes : Agilité, Intégrité, Diversité, Excellence et Responsabilité.

Modalités du poste et avantages : 
Poste basé à Landerneau
Statut : CDI temps plein
Rémunération : 45 - 50 K€",204LFJH,Ingénieur Data Sénior (H/F),M1811,Data engineer,Ingénieur / Ingénieure big data,CDI,Contrat travail,E,4 An(s),29 - Landerneau,29800,29103,48.427632,-4.314962,Annuel de 45000.0 Euros à 50000.0 Euros sur 12.0 mois,,,,"35H/semaine
Travail en journée",False,1,,Conseil pour les affaires et autres conseils de gestion,2026-02-23T11:52:11.307Z,2026-02-23T14:08:21.395Z,50000.0
"Rejoignez une équipe de 580 collaborateurs répartis sur 21 agences dans les Côtes-d'Armor, dédiée à l'accompagnement de plus de 10 000 entreprises (agriculteurs, artisans, commerçants, professions libérales.). En intégrant Cerfrance Côtes d'Armor, le premier réseau national associatif d'expertise comptable, vous aurez un impact significatif sur le développement des entreprises locales. Ensemble, contribuons à notre réussite collective !

Notre projet :

Nous sommes animés par des valeurs de confiance et proximité. Notre ambition est de soutenir le développement humain de nos clients et de nos collaborateurs. Nous veillons à instaurer un management de qualité et à entretenir des relations solides avec nos partenaires, ce qui nous permet de bâtir ensemble une organisation performante, véritablement orientée vers nos clients, ancrée localement et tournée vers l'avenir.
 
Description du poste :

Le poste est à pourvoir en CDD à l'agence de Dinan,

En tant que collaborateur Data Controleur Comptable pour une clientèle d'artisans, commerçants et entreprises de services :

- Vous assurez une collecte de données exhaustive et qualitative, issues de différents canaux (EDI, mandats, relevés bancaires.)
- Vous réalisez la mise à jour des dossiers, le lettrage et les déclarations de TVA
- Vous vérifiez que ces données s'intègrent correctement dans nos outils comptables (exhaustivité et conformités des informations)
- Vous faites remonter les anomalies constatées et participez à la recherche de solutions

Qualifications :

- Expérience significative en cabinet comptable
- Bac+3 en comptabilité (DCG, licence pro...)
- Le travail en équipe est dans votre nature, vous n'êtes jamais seul sur un dossier
- Vous êtes doté(e) d'une bonne aisance relationnelle et d'un sens du service client développé
- Vous avez le sens de l'écoute et de l'analyse
- Vous aimez travailler dans la bonne humeur et la convivialité !

Informations supplémentaires :

- Rémunération entre 23K€ et 28K€ selon l'expérience
- 28 jours de congés payés
- 15 jours de RTT
- Carte tickets restaurant
- Accord télétravail
- CSE",204KLRP,DATA CONTROLEUR COMPTABLE (H/F),M1213,Assistant / Assistante comptable,Assistant / Assistante comptable,CDD,Contrat travail,E,2 An(s),22 - Dinan,22100,22050,48.442419,-2.038735,Annuel de 23500.0 Euros à 28000.0 Euros sur 13.0 mois,,,,"37H30/semaine
Travail en journée",False,1,CERFRANCE Côtes d'Armor,Activités comptables,2026-02-20T17:49:06.775Z,2026-02-23T09:14:18.517Z,23000.0
"Présent sur le Grand Ouest de la France, VM Matériaux distribue des matériaux de construction, de rénovation et de décoration, et fait de la dimension conseil le cœur de son activité. Au service des professionnels du bâtiment et des particuliers à projet, son réseau s'étend sur 70 points de vente.

Le Groupe SAMSE est un groupe Audacieux qui cultive la Proximité avec ses collaborateurs(trices), ses clients et ses fournisseurs. Viens bâtir l'avenir avec nous ! Et rejoins les 75% de nos salariés(es) qui sont actionnaires du Groupe.

Dans le cadre d'une création de poste, nous ouvrons un poste de Data Analyst Pricing (CDI) au sein de notre service tarif et basé sur notre siège social à L'Herbergement (85 - Vendée).
Tu seras rattaché(e) à Freddy, le responsable du service. 

Tes missions seront variées et stimulantes :
Formaliser différents processus clés entre les agences et le siège, et mettre en œuvre les workflows nécessaires,
Recueillir les besoins auprès des agences et du service tarif central,
Rédiger le cahier des charges (processus, utilisateurs, règles de gestion),
Définir les étapes d'approbation, d'alertes, de validations et de suivi,
Structurer les données nécessaires (infos produit/client, prix, justificatif,...),
Créer ou paramétrer le workflow dans l'outil retenu et tester le processus,
Analyser la compétitivité prix de notre entreprise face à la concurrence,
Simuler les impacts marge en fonction de différents scénarios de positionnement face à la concurrence,
Former les collaborateurs à l'usage du workflow.

Au sein du Groupe SAMSE, nous sommes convaincus que la diversité des talents est une richesse. Nous encourageons les candidatures de toutes les personnes qui souhaitent contribuer à notre dynamique collective.

Le poste est ouvert aux candidats(es) issus(es) d'un Bac+3 à Bac+5 en informatique de gestion, systèmes d'information, gestion de projet, ou digital process management. 

La connaissance des workflows, outils de modélisation de processus et automatisation (Power Automate, etc.) est indispensable. 

Nous te proposons :
- Un poste CDI,
- Temps plein (35 h), du lundi au vendredi,
- Basé à L'Herbergement (85),
- Une rémunération qui valorisera ta performance et ta motivation : fixe à partir de 30K€ brut annuel,
- Primes de participation et d'intéressement,
- Primes de vacances équivalente à 25% du salaire mensuel brut sous condition d'ancienneté,
- Tickets restaurants ou E-CESU, 
- Protection sociale (mutuelle & prévoyance),
- Conditions tarifaires spéciales sur les matériaux pour nos collaborateurs (dans le respect des règles fiscales et sociales en vigueur),
- Offres proposées par le Comité Social et Économique (CSE).

Et au-delà...
Dans le cadre de notre politique de mobilité interne, tu pourras découvrir d'autres métiers, enseignes ou régions.

Déroulement du processus de recrutement :
1. Entretien téléphonique
2. Entretien RH / Manager

Nos étapes de recrutement / Groupe SAMSE Recrute <https://www.groupesamserecrute.fr/notre-processus-de-recrutement>",204JYLN,Data Analyst Pricing F/H (H/F),M1430,Chargé / Chargée d'études commerciales,Analyste prix / Analyste pricing,CDI,Contrat travail,E,1 An(s),85 - L'Herbergement,85260,85108,46.90865,-1.377896,Annuel de 30000.0 Euros à 31000.0 Euros sur 12.0 mois,,,,"35H/semaine
Travail en journée",False,1,VM DISTRIBUTION,Activités des sièges sociaux,2026-02-20T13:46:24.352Z,2026-02-20T13:46:24.813Z,30000.0
"-LES ACTIVITES PRINCIPALES 

-Piloter et déployer des projets stratégiques liés à l'Intelligence Artificielle et à l'automatisation des données, en garantissant leur alignement avec les objectifs métiers et technologiques du Groupe, tout en assurant la sécurité et la conformité des environnements, notamment Microsoft.


-LES MISSIONS 

-1) Déploiement des solutions IA :
- Identifier les cas d'usage pertinents pour l'IA (prédiction, optimisation, NLP, etc.).
- Identifier les cas d'usage prioritaires (ROI, impact opérationnel, transversalisation).
- Superviser la mise en oeuvre des modèles IA (internes ou via partenaires).
- Assurer la qualité, la performance et la conformité des solutions.
- Assurer l'acculturation et la formation interne.

2) Automatisation des processus data :
- Structurer les données afin de les rendre compatibles avec des processus automatisés
- Concevoir et implémenter des workflows automatisés pour la collecte, le traitement et l'intégration des données.
- Déployer des outils (ETL, RPA, scripts, ...) pour réduire les tâches manuelles.
- Garantir la fiabilité et la sécurité des flux de données.

3) Gouvernance, sécurité et stratégie 
- Définir et appliquer les politiques de sécurité et conformité (RGPD, DLP, gestion des identités).
- Mettre en place des standards et bonnes pratiques pour la gouvernance des données et la protection des informations sensibles (qualité, sécurité, RGPD, IA responsable)
- Définir la roadmap IA & automatisation en lien avec la DSI et les métiers
- Assurer la veille technologique et proposer des innovations

- SPECIFICITES DU POSTE / COMPETENCES TECHNIQUES

- MLOps / DataOps : déploiement, monitoring, optimisation des modèles.
- Intégration avec systèmes existants (ERP, CRM, Salesforce, Microsoft 365).
-  Automatisation via RPA (Robotic Process Automation) et scripts (Python, Power Automate)
-  Connaissance des architectures cloud (Azure, AWS, GCP) et des services IA.

SOFT SKILLS/COMPETENCES MANAGERIALES ET TRANSVERSALES

- Leadership 
- Gestion de projets transverses
- Capacité à vulgariser des concepts techniques 
- Orientation résultats et innovation.

- PROFIL DU CANDIDAT 

-  Type de contrat  : CDI
- Expérience souhaitée : 5 ans minimum
- Niveau de formation :  BAC +3
- Anglais obligatoire.
- Maitrisie de l'environnement Microsoft IA/Cloud
- Expérience multi-secteurs (industrie, commerce, .) souhaitée dans un contexte international.
- Des connaissances dans les concepts ERP seraient un plus.

- CONDITIONS DU POSTE:

- Horaires journée
- Déplacements ponctuels
- Salaire brut mensuel : 3800 €
- Primes sur objectifs : Oui
-Date d'arrivée souhaitée : 01/03/2026",204GSQZ,RESPONSABLE PROJETS IA ET AUTOMATISATION DATA (H/F),M1856,Expert / Experte en cybersécurité,Expert / Experte sécurité IT,CDI,Contrat travail,E,5 An(s),65 - TARBES,65000,65440,43.243624,0.063813,Mensuel de 3800.0 Euros sur 12.0 mois,,,,"35H/semaine
Travail en journée",False,1,ADHETEC,Fabrication de pièces techniques à base de matières plastiques,2026-02-18T16:35:56.494Z,2026-02-23T11:02:15.448Z,45600.0
"Rattaché(e) au Pôle Projets, Process et Reporting de Matmut Protection Juridique, vous contribuez aux côtés d'un DATA ANALYST expérimenté à l'amélioration ainsi qu'au développement des outils permettant à la filiale d'optimiser ses processus et d'en favoriser la mise en œuvre.

Dans ce cadre, vous serez notamment amené(e) à :

- Analyser les besoins des utilisateurs et mettre en œuvre les évolutions nécessaires des outils
- Modéliser les maquettes des outils à créer
- Étudier et produire des indicateurs de suivi

PAS JUSTE UN PROFIL !

Avoir le bon profil pour la Matmut, ce n'est pas qu'une question de compétences. Nous recherchons la personne qui partagera nos valeurs mutualistes et s'épanouira à nos côtés.

Doté(e) d'une expérience en développement informatique, vous démontrez une réelle appétence pour la mise en œuvre d'outils informatiques.

Vous disposez de bonnes connaissances concernant Excel (VBA), SAS Guide et Power BI.

La connaissance des outils de gestion sinistre serait un plus.

- Vous travaillez avec rigueur, en garantissant la fiabilité des livrables et le respect des processus.
- Vous avez un esprit d'entraide et aimez travailler avec des interlocuteurs variés.
- Vous aimez le challenge et avez envie de participer à la création de nouveaux outils et de reporting.
- Vous faites preuve d'anticipation et de réactivité face aux évolutions et aux changements.

PAS JUSTE UN METIER !

« Nous assurons, nous accompagnons, nous protégeons, nous nous engageons pour aider chacun à construire et rêver demain. » C'est notre Raison d'être, notre raison d'agir au quotidien.

PAS JUSTE UN SALAIRE !

Travailler chez nous, c'est aussi bénéficier d'avantages qui favorisent votre épanouissement :

 Matmut Académie (formations et parcours professionnels)
 Salaire autour de 36 - 45 K€ selon profil et expérience
 Intéressement et participation aux résultats
 Jusqu'à 2 jours de télétravail par semaine (après 6 mois d'ancienneté)
 Mutuelle santé à 4 € par mois
 Remboursement des frais de transport public à hauteur de 75 %
 Comité Social et Économique (CSE) proposant de nombreux avantages

Nous vous offrons une formation complète, un tutorat de proximité et un environnement de travail favorisant l'esprit d'équipe. De quoi grandir, en restant toujours motivé(e) !


",204CVYL,Data Analyst (VBA / SAS Guide / Power BI) (CDD 6 mois à Rouen) (H/F),M1419,Data analyst,Data analyst,CDD,Contrat travail,E,2 An(s),76 - ROUEN,76000,76540,49.462359,1.135297,Mensuel de 38000.0 Euros à 45000.0 Euros sur 12.0 mois,,,,"35H/semaine
Travail en journée",False,1,MATMUT MUTUALITE,Autres assurances,2026-02-16T15:05:43.126Z,2026-02-27T11:58:57.542Z,45000.0
"Rejoignez le groupe Partnaire pour une aventure passionnante dans la Data !
Vous êtes un expert du SQL, vous maîtrisez Python et vous souhaitez bâtir des architectures Data modernes sur Google Cloud Platform (GCP) ? Ce poste au sud d'Orléans (45) en cdi est une opportunité clé pour concevoir et industrialiser les pipelines qui propulsent la stratégie Data & IA du groupe Partnaire.
Votre mission : Le coeur du réacteur Data
Votre rôle central consiste à concevoir, développer et optimiser les flux de données (ingestion et transformation) pour alimenter notre Data Platform. Vous serez le garant de la fluidité et de la qualité des données circulant entre nos sources métiers et notre Data Warehouse.
1. Développement de Flux de Données 
Concevoir et développer des Cloud Functions en Python pour automatiser la récupération de données via APIs, webhooks ou fichiers (Cloud Storage).
2. Pipelines de Transformation ELT (SQL)
Maîtrise de BigQuery : Concevoir des pipelines de transformation complexes directement au sein de BigQuery en utilisant un SQL avancé (CTEs, fenêtrage, optimisation de requêtes).
Logique ELT : Transformer les données brutes du Data Lake en modèles de données structurés, performants et prêts à l'usage pour les analystes.
Qualité & Tests : Implémenter des tests de données (Data Quality) au sein des pipelines pour garantir la fiabilité des indicateurs produits.

Poste à pourvoir dès que possible
Vos avantages : Tickets restaurants, avantages CSE, Mutuelle, Prévoyance, RTT (13 jours), Mécénat de compétences, Congés proche-aidant, moment de cohésion interne, 1 jour de télétravail par semaine
Rémunération : Entre 45KEUR et 50KEUR brut annuel (selon profil et expérience).
 Expertise SQL : Vous considérez le SQL comme un outil de programmation à part entière. Vous savez manipuler de larges volumes de données avec efficacité.
Maîtrise de Python : Expérience avérée dans le développement de scripts d'automatisation, de manipulation de données et d'appels API.
Culture Cloud : Une connaissance (même initiale) des services GCP comme Cloud Functions, BigQuery est attendue.
Soft Skills :
Rigueur : Vous avez le goût du code propre (Clean Code), documenté et testé.
Curiosité technique : Passionné par l'écosystème Cloud et les nouvelles manières de traiter la donnée.
Communication : Capacité à expliquer vos choix techniques et à collaborer au sein d'une équipe agile.

 ",203WMZK,DATA INGENIEUR GCP Junior (H/F),M1841,Ingénieur informaticien / Ingénieure informaticienne,Ingénieur informaticien / Ingénieure informaticienne,CDI,Contrat travail,E,1 An(s),45 - Olivet,45160,45232,47.865292,1.897202,Annuel de 45000.0 Euros à 50000.0 Euros sur 12.0 mois,,,,"37H/semaine
Travail en journée",False,1,SOCIETE DE FORMATIQUE ET FINANCIERE,Activités des sociétés holding,2026-02-10T14:22:01.353Z,2026-02-10T15:07:43.689Z,45000.0
"Dans le cadre de la structuration de la gouvernance Data du groupe et de la nouvelle phase de transformation digitale de Schmidt Groupe, le/la Directeur/trice Data Groupe conçoit, met en œuvre et pilote l'operating model Data de Schmidt Groupe.

Il/elle supervise l'ensemble des processus de collecte, de traitement, de mise à disposition et d'exploitation des données, en intégrant les apports des technologies d'intelligence artificielle (machine learning, IA générative) tout au long de la chaîne de valeur data, afin de permettre une prise de décision efficace et d'éclairer la stratégie globale du groupe.

Rattaché(e) au Directeur des Systèmes d'Information, également en charge de la transformation digitale du groupe, le/la Directeur/trice Data a pour mission de garantir la disponibilité, la fiabilité, la qualité et la valorisation des données, en s'appuyant sur une organisation hybride combinant des équipes Data au sein de la DSI et des responsabilités data portées par les directions métiers.

Missions :

 * Définir et piloter la stratégie Data Groupe, en cohérence avec la stratégie globale et la transformation digitale de Schmidt Groupe, en travaillant en proximité avec les directions métiers pour comprendre et prioriser leurs enjeux ;
   
 * Mettre en place et animer la gouvernance de la donnée : data ownership, règles de gestion, qualité des données, arbitrages transverses ;
   
 * Structurer et faire fonctionner un operating model data fédéré intégrant plateformes data, BI factory, référents data par domaine (retail, e-commerce, finance.) et data analysts métiers ;
   
 * Piloter les plateformes Data & Analytics : collecte, transformation, mise à disposition des données, sécurité et performance, en assurant leur compatibilité avec des usages de machine learning et d'IA générative à l'échelle ;
   
 * Organiser et piloter la capacité de delivery Data (BI, reporting, produits data), avec des priorités, des standards et des SLA clairs ;
   
 * Mettre en œuvre une démarche transverse de qualité de la donnée, en outillant et responsabilisant les acteurs métiers, notamment dans une logique de fiabilité des données utilisées par les modèles d'IA ;

Ce que nous attendons :

 * Bac +5 (informatique, data, ingénierie, ou équivalent)
 * Expérience confirmée (10 ans et +) dans les domaines Data / BI / IT, idéalement dans un environnement complexe et multi-entités
   
 * Solide compréhension des architectures data, de la BI et des enjeux de gouvernance, ainsi que des principes fondamentaux du machine learning et de l'IA générative
   
 * Expérience de modèles fédérés ou hybrides associant IT et métiers incluant des projets intégrant des usages d'IA
   
 * Capacité à arbitrer, structurer, prioriser et faire coopérer des équipes transverses, avec une posture de partenaire des métiers et une forte capacité d'écoute et de compréhension de leurs enjeux
   
 * Leadership, sens du résultat, posture d'interface entre directions métiers et DSI
   
 * Maîtrise de l'anglais obligatoire
   
 * Déplacements ponctuels à prévoir

Ce que nous proposons :

Poste à pourvoir immédiatement.
À partir de 80k€ brut annuel

Avantages : 13ème mois, intéressement + participation, mutuelle + prévoyance, indemnités kilométriques, restaurant d'entreprise, CSE, chèques vacances, parcours d'intégration personnalisé, crèche, salle de sport, télétravail (8j / mois)

Votre diversité fait notre richesse. Entreprise inclusive, Schmidt Groupe s'engage en faveur de tous les talents.",203VPZJ,Directeur Data Groupe H/F (H/F),M1423,Chief Data Officer,Chief Data Officer,CDI,Contrat travail,E,1 An(s),67 - Sélestat,67600,67462,48.26272,7.437506,Annuel de 80000.0 Euros à 90000.0 Euros sur 13.0 mois,,,,"35H/semaine
Travail en journée",False,1,SCHMIDT GROUPE,Fabrication de meubles de cuisine,2026-02-09T17:53:02.941Z,2026-02-25T21:45:26.014Z,80000.0
"Le Groupe SAMSE est un groupe Audacieux qui cultive la Proximité avec ses collaborateurs(trices), ses clients et ses fournisseurs. Viens bâtir l'avenir avec nous ! Et rejoins les 75% de nos salariés(es) qui sont actionnaires du Groupe. 

Nous recherchons un(e) Data Business Analyst qui sera rattaché(e) à Mohamed, Directeur Projet et optimisation des Frais généraux.

Tu contribueras à l'amélioration de la performance économique des métiers du groupe et seras l'interface entre les équipes opérationnelles, la finance et le décisionnel. Dans le cadre des missions qui te seront confiées, tu identifies, analyses et priorises les leviers d'optimisation financière en t'appuyant sur la donnée.

Les différentes étapes :
Identification des leviers de performance
- Analyser les processus métiers sous l'angle coûts, marges, efficacité et création de valeur
- Identifier les zones de non-performance et les opportunités d'optimisation

Cadrage des besoins BI (en amont des projets)
- Traduire les enjeux métiers en besoins analytiques
- Définir les KPI, règles de gestion et axes d'analyse

Pilotage métier des projets BI
- Co-construire les solutions décisionnelles avec le référent BI
- Valider la cohérence métier des données et des indicateurs
- Participer aux recettes fonctionnelles et accompagner l'adoption des outils

Animation de la culture data métier
- Aider à la lecture, à l'interprétation et à l'appropriation des indicateurs
- Diffuser une culture de pilotage de la performance par la donnée

Au sein du Groupe SAMSE, nous sommes convaincus que la diversité des talents est une richesse. Nous encourageons les candidatures de toutes les personnes qui souhaitent contribuer à notre dynamique collective.

Le poste est ouvert aux candidat(e)s issu(e)s d'une formation BAC+ 5 en contrôle de gestion ou finance d'entreprise.
Tu possèdes une expérience d'au moins 5 ans sur un poste similaire.

Tu as des compétences analytiques et une capacité à résoudre des problèmes complexes. Ton aisance relationnelle te permet de travailler efficacement avec différents interlocuteurs.

Tu maîtrises Excel et tu as une forte appétence sur les outils de reporting notamment Power BI.

Nous te proposons :
- CDI ;
- Statut cadre en forfait jour ;
- Basé à Grenoble ;
- Possibilité de télétravail 1 à 2 jours (par semaine) ;
- Une rémunération attractive qui valorisera ta motivation a partir de 36 K€ brut fixe annuel + variable ;
- Une prime de Noël et une prime de vacances ;
- Une prime d'intéressement et une prime de participation ;
- Une prévoyance et une mutuelle ;
- Une carte société qui te permettra d'avoir des prix préférentiels sur les produits de nos enseignes ;
- Un fond commun de placement avec un abondement de 40% ;
- Des négociations annuelles obligatoires.

Et au-delà...
Tu vas pouvoir te construire un parcours qui te ressemble vraiment. Dans le cadre de notre politique de mobilité interne, tu pourras découvrir d'autres métiers, enseignes ou régions.

Déroulement du processus de recrutement : 
1. Entretien téléphonique 
2. Premier entretien RH / manager 
3. Second entretien manager / N+2 

Nos étapes de recrutement / Groupe <https://www.groupesamserecrute.fr/> SAMSE Recrute <https://www.groupesamserecrute.fr/>",203VJWT,Data Business Analyst (H/F),M1806,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information,Business analyst,CDI,Contrat travail,E,5 An(s),38 - Grenoble,38000,38185,45.18637,5.711296,Annuel de 36000.0 Euros à 36500.0 Euros sur 12.0 mois,,,,"35H/semaine
Travail en journée",False,1,SAMSE,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,2026-02-09T16:04:43.633Z,2026-02-25T21:45:33.934Z,36000.0
"Nous sommes 580 collaborateurs répartis sur 21 agences dans le département des Côtes-d'Armor et nous accompagnons le développement de 10 000 entreprises (agriculteurs, artisans, commerçants, professions libérales...) dans les domaines du conseil, de la gestion et de l'expertise comptable. Rejoignez-nous, et intégrez le premier réseau national associatif d'expertise comptable !

Cerfrance 22 c'est aussi :
- Un parcours d'intégration qui vous permet de découvrir l'entreprise, sa culture et ses acteurs 
- Tout au long de votre parcours, votre manager vous accompagne dans la prise en main de vos nouvelles fonctions
- Au quotidien, vous êtes autonome dans l'organisation de vos missions
- Vous bénéficiez d'un cadre de travail dans des locaux neufs à l'ambiance moderne et chaleureuse

DESCRIPTIF DU POSTE :
Vous avez envie d'un poste qui mêle compta, outils digitaux et modernisation des process ?
Envie de participer à l'arrivée de la facture électronique et de faire partie d'une équipe qui évolue ?
Alors ce poste est fait pour vous !
Dans le cadre de notre transformation digitale, nous faisons évoluer le métier d'assistant comptable au sein de notre Direction Administrative et Financière, vers celui de Data Contrôleur Interne, un rôle essentiel pour garantir la qualité et la fiabilité des données comptables au sein de notre organisation. 

Vos missions : 
Collecte, intégration et contrôle des données comptables :
- Centraliser et traiter les données comptables internes (factures fournisseurs, notes de frais, relevés bancaires, paie.) via Yooz et Sage FRP 1000.
- Vérifier la cohérence, l'exhaustivité et la conformité des données avant intégration.
- Enregistrer les écritures comptables courantes et extra-financières.
- Réaliser le lettrage des comptes, les rapprochements bancaires et le suivi des règlements.
- Identifier et corriger les anomalies.
- Participer aux déclarations fiscales et sociales (TVA, TVTS, etc.).
- Accompagner la transition vers la facture électronique.
- Contribuer aux reporting internes et au pilotage financier.

Organisation des processus comptables et gestion documentaire :
- Respecter les délais comptables et fiscaux.
- Mettre à jour les procédures et outils internes.
- Gérer les archives numériques et physiques.

Collaboration et support interne :
- Travailler en collaboration étroite avec les équipes internes.
- Échanger avec les interlocuteurs externes (fournisseurs, partenaires.).
- Participer à la cohésion et à la dynamique d'équipe.
- Echanger avec les interlocuteurs internes sur les outils et procédures comptables.
- Être référent(e) sur la fiabilité des données et les processus internes.

Le poste est à pourvoir en CDI à Plérin (22). 

Profil recherché :
- De formation Bac+2 en comptabilité, gestion ou équivalent
- Vous disposez d'une bonne connaissance des processus comptables, de la comptabilité générale et de la fiscalité d'entreprise
- Vous êtes à l'aise avec les outils comptables et bureautiques ; la connaissance de Sage 1000 et d'outils de gestion des flux est un plus
- Rigueur et organisation vous caractérisent dans la gestion de vos missions
- Vous faites preuve d'aisance relationnelle, d'un esprit d'équipe et du sens de la confidentialité

Pourquoi ce poste ?
- Un rôle hybride comptabilité + data au cœur de notre transformation numérique.
- Une montée en compétences sur des outils digitaux innovants.
- Un poste évolutif vers le contrôle, la fiabilité et l'automatisation des flux comptables.

Rémunération et avantages :
- Rémunération entre 25K€ - 28K€
- Tickets restaurants
- Un comité social et économique (CSE) attractif
- Accord télétravail",201XCSZ,DATA CONTROLEUR COMPTABLE INTERNE (H/F),M1213,Assistant / Assistante comptable,Assistant / Assistante comptable,CDI,Contrat travail,D,Débutant accepté,22 - PLERIN,22190,22187,48.535003,-2.770162,Mensuel de 25000.0 Euros à 28000.0 Euros sur 13.0 mois,,,,"37H30/semaine
Travail en journée",False,1,CERFRANCE Côtes d'Armor,Activités comptables,2025-12-24T13:50:53.665Z,2026-02-27T08:43:12.161Z,25000.0
