description,id,intitule,rome_code,rome_libelle,appellation_libelle,type_contrat,nature_contrat,experience_exigee,experience_libelle,lieu_libelle,code_postal,commune,latitude,longitude,salaire_libelle,salaire_min,salaire_max,salaire_unite,duree_travail,alternance,nombre_postes,nom_entreprise,secteur_activite,date_creation,date_actualisation,salaire_extrait
"Rejoindre Davidson, ce n'est pas seulement intégrer un groupe de 3000 consultants dans 6 pays et 2 continents, c'est intégrer LA société qui a été élue par ses salariés Great Place To Work France et Europe pendant 4 ans mais aussi une des plus grandes B Corp de France, nommée Best of the World dans la catégorie ""collaborateurs"" en 2022 ! (Les ""B Corp"" formant une communauté de sociétés qui ont décidé d'être non pas les meilleures du monde mais les meilleures POUR le monde).

Parce que notre développement repose sur des principes forts :

Un profond respect de l'ensemble de nos parties prenantes : consultant(e)s, clients et fournisseurs. Car si le travail ""ne fait pas le bonheur"", il peut cependant ""faire le malheur"". Nous nous engageons donc à écouter et agir avec honnêteté.
Une égalité des chances dans le traitement de nos candidatures et dans la gestion de carrière de nos salarié(e)s. Nous croyons en un milieu de travail où équité F/H, inclusion et diversité sont la norme.
Une empreinte environnementale minimale, et sociétale maximale. C'est pourquoi, au-delà des missions que vous réaliserez, vous pourrez également contribuer à des projets que Davidson soutient : missions de solidarité internationale (avec Planète Urgence), bénévolat auprès d'associations (chaque Davidsonien(ne) dispose de 3 jours par an pour intervenir à leurs côtés), accompagnement d'étudiant(e)s issus de milieux peu favorisés (avec Article 1), investissement dans des startups développant des solutions innovantes, actions collectives et individuelles pour la réduction de notre impact carbone.
Un Management adhocratique basé sur la mise en œuvre des principes de ""l'entreprise horizontale"" et du ""management tribal"". Sur ce dernier point une précision d'importance : le bien-être au travail est un luxe qu'il faut pouvoir s'offrir en étant une entreprise ""sol

Dans un contexte technique et innovant, vous intégrerez notre équipe Data pour accompagner nos clients dans la valorisation de leurs données et le développement de solutions décisionnelles à forte valeur ajoutée.

Vos missions principales seront :

Conception et développement : Créer, optimiser et maintenir des tableaux de bord interactifs sous Power BI répondant aux exigences métiers.
Analyse et qualité des données : Collaborer avec les métiers pour définir des règles de qualité, mettre en évidence les anomalies et faciliter leur résolution.
Documentation et accompagnement : Documenter les développements réalisés et former les utilisateurs pour leur assurer autonomie et compréhension des outils.
Veille et innovation : Participer activement à la veille technologique sur Power BI et les technologies associées pour proposer des solutions innovantes.
Gestion de projets : Conduire des projets de bout en bout, de la compréhension des besoins métier à la mise en production des solutions.
Technologies utilisées

Langages & outils : Power BI (DAX, Power Query, Power BI Service), SQL, Python.
Plateformes et frameworks : Power Platform (Power Automate, Power Apps), Azure, GitLab.
Conception et design : UI/UX pour des rapports ergonomiques et intuitifs.
Compétences requises

Formation : Bac +5 minimum, spécialisation en Data Engineering, BI ou équivalent.
Expérience : 2 à 3 ans d'expérience sur des projets BI avec une expertise en Power BI.
Compétences techniques :
Maîtrise avancée de Power BI (DAX, Power Query, gestion des espaces de travail).
Compétence en modélisation de données et utilisation avancée de SQL.
Connaissance des outils Cloud Microsoft tels qu'Azure et Power Platform.
Notions en Python pour des besoins complémentaires d'analyse ou de développement.
Aptitudes personnelles :
Esprit analytique et rigueur.
Capacité à communiquer avec des interlocuteurs variés, techniques et fonctionnels.
Passion pour les nouvelles technologies et l'innovation dans le domaine de la Data.
Autonomie et sens de l'organisation.",204RWGL,Data analyst (H/F),M1419,Data analyst,Data analyst,CDI,Contrat travail,D,Débutant accepté,06 - VALBONNE,6560.0,6152.0,43.622404,7.046216,Annuel de 36000.0 Euros à 45000.0 Euros sur 12.0 mois,,,,"35H/semaine
Travail en journée",False,1,DAVIDSON PACA,"Ingénierie,études techniques",2026-02-27T15:43:37.002Z,2026-02-27T15:43:37.422Z,
"Business Analyst Data confirmé avec forte expérience (minimum 4-5 ans) en migration DWH vers GCP, à l'aise sur les sujets data gouvernance / qualité / GDPR, capable d'animer des ateliers métiers et d'évoluer dans un environnement international exigeant.

Contexte : Dans le cadre de la migration de leur data hub de Teradata vers Google Cloud Platform, notre client recherche un Business Analyst IT.
Le data hub concerne des données commerciales avec de forts enjeux de :
- Data gouvernance
- Qualité de données
- GDPR compliance
- Migration cloud en environnement critique

Objectifs de la mission
- Contribuer à la migration Teradata → GCP
- Participer au cadrage fonctionnel et à la modélisation des données
- Accompagner les sujets de data gouvernance (privacy, data quality, lineage)
- Animer des ateliers métiers / IT
- Suivre les phases de recette et mise en production
- Travailler en coordination avec des équipes offshore

Challenge principal
- Migration cloud d'un data hub stratégique
- Maintien conformité GDPR en production & acceptance
- Coordination multi-sites et offshore
Expertise souhaitée
Expérience
- 4 à 6 ans minimum en Business Analysis orientée Data
- Expérience confirmée en migration vers le cloud (idéalement GCP)
- Environnement data warehouse / data hub

Compétences attendues
- Data & Modélisation
- Modélisation métier & physique
- Data lineage
- Data quality
- Gouvernance des données
- Connaissance des architectures DWH

Technique :
- SQL
- GCP (BigQuery idéalement)
- Connaissance d'environnements type Teradata
- Compréhension des flux et pipelines data

Méthodologie :
- Animation d'ateliers métiers/IT
- Rédaction de spécifications fonctionnelles
- Gestion backlog (Jira / Confluence)
- Suivi recette
- Travail en environnement agile

Différenciant
- Expérience dans un grand groupe international
- Habitude des environnements multi-entités / internationaux
- Sensibilité forte aux enjeux RGPD et conformité
Mobilité
Roissy - 2 jours de télétravail par semaine",204RMTP,Business Analyst Data (H/F),M1419,Data analyst,Data analyst,CDI,Contrat travail,E,6 An(s),95 - Val-d'Oise,,,,,Annuel de 48000.0 Euros à 58000.0 Euros sur 12.0 mois,,,,"35H/semaine
Travail en journée",False,1,INFORMATIS TECHNOLOGY SYSTM,Conseil en systèmes et logiciels informatiques,2026-02-27T12:19:32.303Z,2026-02-27T14:40:37.845Z,
"Descriptif du poste

Gestion du Backlog :
Créer et maintenir le Product Backlog, en le priorisant en fonction de la valeur métier, des risques et des dépendances ;
Traduire les besoins métier en User Stories claires et concises ;
Affiner le Product Backlog en collaboration avec les équipes.

Arbitrer en collaboration avec le responsable data les priorités des fonctionnalités et des améliorations ;
Communiquer et collaborer avec l'équipe data au sein du SI Transverse et les métiers pour assurer la bonne compréhension des besoins ;
Faciliter l'adoption des solutions data pour les utilisateurs (par exemple, via des sessions de formations sur notre outil de reporting) ;
Assurer la qualité des livrables et le respect des délais ;
Animer les rituels agiles (Sprint Planning, Daily Scrum, Sprint Review, Sprint Rétrospective) ;

Profil recherché
Vous êtes diplômé(e) de l'enseignement supérieur, vous avez une expérience significative d'au moins 2 années dans un rôle de PO Data.
Vous possédez les compétences suivantes :
Bonne connaissance des projets Agiles (Scrum) et des outils associés (Jira, Squash, etc)
Connaissance des Données : Compréhension des concepts clés de la data (ETL, data lake, etc.);
Compétences en Gestion de Produit : Expérience significative en tant que Product Owner, idéalement dans le domaine de l'eau ;
Esprit d'Analyse : Capacité à analyser les besoins métier et à les traduire en exigences techniques pour les développeurs data ;
Connaissance SQL exigée et appréciée ;
Connaissance technique (un plus) : Connaissance des technologies data (BigQuery, GCP, Python, etc.) serait un plus.

Livrables Attendus du Product Owner :

Product Backlog clair et priorisé
User Stories bien définies
Participation active aux rituels agiles
Communication régulière sur l'avancement des projets

Relation interne et externe :
Interlocuteurs Client (métier, moe)
Interlocuteurs Logiclever (collaborateurs, office manager.)

Conditions et lieu de travail :
Selon les conditions du client : mais souvent 2 jours de télétravail par semaine",204RLFF,PO Data Junior (H/F),M1864,Product Owner,Product Owner,CDI,Contrat travail,E,2 An(s),92 - NEUILLY SUR SEINE,92200.0,92051.0,48.884789,2.269688,Annuel de 38000.0 Euros à 42000.0 Euros sur 12.0 mois,,,,"35H/semaine
Travail en journée",False,1,LOGICLEVER,Conseil en systèmes et logiciels informatiques,2026-02-27T11:44:59.877Z,2026-02-27T12:24:25.992Z,
"Nos Commandantes de Bord vous expliquent pourquoi rejoindre Airbus : "" Airbus est une entreprise renommée dans le secteur de l'aéronautique, reconnue pour son innovation et son expertise. Rejoindre Airbus, c'est intégrer un environnement dynamique et stimulant, où les talents peuvent s'épanouir et contribuer à des projets d'envergure internationale."" Nous nous engageons pour un long voyage, Crit Aéro recrute en mission d'intérim un Data scientist performance qualité H/F Pour préparer ce voyage, « après une pré qualification téléphonique, vous serez convié(e) à un entretien où vous aurez l'occasion de présenter votre parcours, vos compétences/qualités et votre cadre de recherche »
On vous dit tout !! Faisons escale sur votre plan de vol et les attentes de ce poste :

Digitalisation de la performance qualité (automatisation de la revue de perf)
Source unique de vérité : Concevoir, développer et déployer un tableau de bord dynamique et unifié dans Skywise Workshop pour le suivi de la performance qualité QM/OD et les rapports mensuels associés.
Synergie des parties prenantes : Assurer la liaison principale entre l'équipe centrale Performance Qualité, les responsables Qualité des usines et les équipes d'analystes de données afin de converger leurs besoins.
Gestion des indicateurs clés de performance (KPI) : Intégrer et suivre les indicateurs clés de qualité, notamment les non-conformités (NC), les dérogations et les SARI, en garantissant différents niveaux de détail, de la direction aux opérateurs.
Boucle d'amélioration continue : Veiller à ce que la plateforme facilite les cycles PDCA (Planifier-Déployer-Contrôler-Améliorer) en temps réel et un suivi rigoureux des actions pour atteindre nos objectifs de performance.
Innovation en IA (déploiement 
Intégration à la communauté IA : Participer activement à la communauté mondiale Qualité IA et partager les meilleures pratiques au sein de l'organisation.
 Avant l'embarquement, vérifions que nous n'avons rien oublié, dans vos bagages : on lit le plan de vol jusqu'au bout pour assurer la qualité du voyage de l'avion.
Il vous faudra : comme carte d'embarquement : de l'envie, motivation, rigueur et de l'assiduité. 
Votre passeport reprenant votre diplôme idéalement BAC+5, vous maitrisez l'anglais à l'oral et l'écrit. Anglais fluent : C1 Obligatoire - Français = idéalement est un gros plus
Vous justifiez d'une expérience de minimum 3 à 5 ans sur les outils digitaux Skywise ou Palantir, Workshop, connaissance en IA en industrie aéronautique. 

Compétences prioritaires obligatoires à avoir : 
Data science & digital science
Connaissance des process qualité et production (NC, concession, SARI)

Ce qui fera la différence pour la réussite sur ce poste: Bonne communication, esprit d'équipe, autonomie, bon relationnel, persévérant

Alors si vous avez bien tout lu, n'oubliez pas le nom de code : ""Embarquement immédiat pour Airbus"" 
Tous nos postes sont ouverts aux candidats en situation de handicap
",204RHZW,Data scientist performance qualité H/F,M1820,Expert / Experte méthodes et qualité informatique,Expert / Experte méthodes et qualité informatique,MIS,Contrat travail,E,2 An(s),31 - TOULOUSE,31000.0,31555.0,43.602372,1.406624,Annuel de 45000.0 Euros à 50000.0 Euros sur 12.0 mois,,,,"35H/semaine
Travail en horaires décalés",False,1,CRIT INTERIM,Activités des agences de travail temporaire,2026-02-27T11:05:22.827Z,2026-02-27T11:16:09.155Z,
"Nous recherchons un-e Data analyste Crédit expérimenté-e pour rejoindre notre équipe Finance 

Dans ce rôle, tu seras chargé-e d'appuyer la stratégie de recouvrement B2C en te basant sur l'analyse de nos données client et des opérations de recouvrement. Pour cela, il faudra mesurer l'impact des actions existantes, construire des rapports d'analyse et proposer des orientations stratégiques pour améliorer les taux de recouvrement et gérer le risque crédit.
Tu accompagneras l'équipe Recouvrement dans ses prises de décisions et d'amélioration des processus de recouvrement d'Octopus Energy France.
Tu reporteras au Credit Risk Manager et travaillera en étroite collaboration avec les équipes Recouvrement, Finance et Data.
Tes missions seront :
Développer, maintenir et partager des reportings et des analyses de données en lien avec la dette et le recouvrement pour Octopus Energy France.
Construire des modèles d'analyse de données réutilisables et accessibles pour les équipes Recouvrement.
Être force de proposition sur la mise en place des processus de recouvrement (par ex. : adaptation de mensualité, échelonnement de dettes, mise en place d'A/B Testing).
Prendre part à la modélisation la dette en collaboration avec les différentes équipes Finance et Data, en France et Groupe pour du provisionnement.
Collaborer avec les équipes Crédit Groupe et Data France.

Profil recherché :
Les essentiels : 
- Tu as un solide bagage (3 ans et +) en analyse de données, avec un parcours en Data ou en statistiques / économie / finance,
- Tu as d'excellentes compétences en SQL et en Python, tu sais utiliser ces outils pour développer des analyses,
- Tu as idéalement une expérience réussie en recouvrement / crédit,
- Tu es rigoureux-se et proactif-ve dans l'amélioration de tes reportings et des tes analyses,
- Tu t'appropries tes sujets et tu les fais avancer,
- Tu sais gérer des projets impliquant de multiples équipes en interne,
- Tu es à l'aise avec les outils de visualisation de données d'une manière générale,
- Tu es capable de synthétiser des analyses de manière claire, en quelques slides ou lignes par exemple,

Les plus : 
- Tu as des connaissances en finance et/ou en recouvrement
- Tu as une connaissance des environnements data/cloud, tu connais les stacks data modernes,
- Tu as une connaissance du Machine Learning et de l'IA.

Ce poste est fait pour toi si :
Tu as au moins 2-3 ans d'expérience professionnelle en data analyse/analyse de données
Tu es rigoureux-se et proactif-ve
Tu es un-e problem-solver et tu fais avancer tes projets
Tu aimes contribuer et faire avancer la stratégie d'une équipe
Tu sais travailler de manière collaborative et avec différentes équipes
Tu sais travailler en Français et en Anglais (niveau B2 mininum, écrit & oral), pour pouvoir communiquer avec nos collègues du groupe et d'outre-Manche 
Tu partages notre ambition de révolutionner le monde de l'énergie !",204RGKC,Data Analyst Crédit - Profil intermediate H/F (H/F),M1419,Data analyst,Data analyst,CDI,Contrat travail,E,2 An(s),75 - PARIS,75002.0,75102.0,,,Annuel de 50000.0 Euros à 53000.0 Euros sur 12.0 mois,,,,"38H30/semaine
Travail en journée",False,1,OCTOPUS ENERGY FRANCE,"Activités spécialisées, scientifiques et techniques diverses",2026-02-27T10:31:11.845Z,2026-02-27T10:31:12.300Z,
"Description de l'entreprise

Let's SOCOTEC !

SOCOTEC est dans le Top 10 des Best Workplaces® 2025 en France (catégorie &gt;2500 salariés) !

Rejoindre SOCOTEC, c'est rejoindre une communauté d'experts soudés, une entreprise en croissance qui va de l'avant et qui valorise l'humain et le développement de ses équipes, c'est aussi rejoindre une dynamique collective qui fait la différence sur ses marchés : construction, immobilier, infrastructures, industrie, environnement.

Leader de la durabilité du bâti et des infrastructures, SOCOTEC c'est une communauté de plus de 14 500 experts basés dans 26 pays, tous prêts à relever les challenges dans le domaine du Testing, de l'Inspection et de la Certification (TIC) dans la construction, les infrastructures et l'industrie.

Cette année, SOCOTEC recrute 1500 nouveaux collaborateurs.

Rejoignez-nous et partagez un métier qui a du sens, au service d'une vision positive : inventer ensemble la ville de demain, plus sûre, durable et inclusive.

Au sein du groupe, vous rejoindrez le Data & IA Hub : le centre de compétences en Data & IA pour les 26 pays du groupe SOCOTEC. Le Hub suit une croissance forte des effectifs avec des projets en interne mais aussi auprès des clients du groupe.

Description du poste

Au sein du Data & IA Hub SOCOTEC, vous rejoignez une équipe pluridisciplinaire chargée de concevoir, déployer et maintenir l'architecture Data du groupe à l'échelle internationale.
Vous contribuerez à la modernisation du Lakehouse SOCOTEC, cœur de la plateforme analytique mondiale, et participerez à des projets concrets de valorisation des données, de la conception à la data visualisation.

Vous travaillerez sur trois missions principales :

- Développer des pipelines de données de bout en bout (ingestion, transformation, modélisation, exposition) et contribuer à la mise en place de visualisations dans Power BI ou Databricks SQL.


- Améliorer en continu le Lakehouse SOCOTEC, notamment sur les volets gouvernance, qualité, et pseudonymisation des données.


- Expérimenter des solutions d'IA générative appliquées à la data, comme GenIE de Databricks, pour transformer des requêtes textuelles en insights exploitables.



Le poste requiert une maîtrise parfaite de l'anglais pour la collaboration avec nos équipes aux US. 

Le stack technique utilisée :

- Amazon Web Services (AWS)
- Databricks
- Fivetran
- Spark pour les pipelines ETL
- Gitlab pour versionner les sources
- S3
- Power BI, l'outil de BI, géré avec les équipes BI

Chez SOCOTEC, les carrières sont construites avec vous vers ce qui vous correspond le mieux : expertise technique, management d'une équipe (lead data), etc.
Vous aurez la possibilité d'interagir à l'international (US, UK, ITA, ESP, NL) et des opportunités de mobilité internationale sont possibles.

Vous ferez preuve d'autonomie, de sagacité et de qualités certaines dans la rédaction et la communication de son code. 

Qualifications

- Master en Big Data, Informatique, ou Ingénierie logicielle avec une forte spécialisation ou appétence pour la data et les architectures distribuées.
- Au moins 3 ans d'expérience en Data engineering.
- Solide maîtrise des bases de données SQL et NoSQL (modélisation, requêtes optimisées, intégrité et performance).
- Bonne compréhension des architectures Big Data
Référence: REF8994G",204QWDD,Data Engineer Confirmé F/H,M1811,Data engineer,Data engineer,CDI,Contrat travail,E,3 An(s),91 - Palaiseau,91120.0,91477.0,48.714495,2.245825,Annuel de 48000.0 Euros à 58000.0 Euros sur 12.0 mois,,,,"37H23/semaine
Travail en journée",False,1,SOCOTEC TECHNICAL CONSULTING,"Ingénierie,études techniques",2026-02-26T20:00:43.316Z,2026-02-26T20:00:43.517Z,
"Vous souhaitez intégrer une entreprise française tournée vers l'avenir ?
SAM Outillage, lauréat du plan France Relance, s'engage dans une démarche de développement durable et poursuit ses investissements en France grâce à sa stratégie 5I : Innovation, International, Internet, Individu, et Industrie. Depuis 120 ans, nous concevons, fabriquons et commercialisons des solutions d'outillage au service de la performance des professionnels.
Nous te proposons de rejoindre notre équipe en charge de l'Offre Client en tant que Chargé(e) de Data Marketing & Communication, pour un CDD de 9 mois pour remplacement, dans un premier temps et pourquoi pas un CDI par la suite? :


Tu seras notamment en charge de :
- Faire rayonner la marque auprès des cibles de marchés, clients, prospects en France et à l'étranger
- Donner une identité à la marque SAM comme Unique et différenciante sur le marché
- Faciliter l'acquisition de nouveaux leads, la qualification des contacts, leur progression dans le parcours en tant que prospects, leur transformation en clients, leur fidélisation dans le temps
- Développer les réseaux sociaux du Groupe SAM
- Concevoir des campagnes de Growth Marketing pour les innovations , les outils techniques et spécifiques ainsi que les sélections métiers du Groupe SAM
- Optimiser la base de données CRM
- Piloter le suivi des statistiques : conception et implémentation de plans de taggage sur les différents sites du Groupe SAM

Profil recherché
Issu(e) d'une formation Bac +5 avec une première expérience en Communication et notamment Digitale,
Si tu es créatif(ve), curieux(se) et force de proposition, toujours prêt(e) à tester de nouvelles idées,
si tu es à l'aise avec les techniques de génération de leads (Inbud marketing, growth marketing),
si tu maîtrises les codes et usages des réseaux sociaux, en particulier LinkedIn,
si tu es à l'aise avec les outils de création et de montage visuel/vidéo (Adobe Première, CapCut, Canva ou équivalent),
si ton orthographe & rédactionnel sont irréprochables,
et si tu sais être autonome, tout en aimant le travail en équipe, alors, ce poste est fait pour toi!
Pourquoi SAM OUTILLAGE ?
Chez SAM OUTILLAGE, tu bénéficieras de conditions de travail de qualité, d'un parcours d'intégration de deux mois, ainsi qu'un cadre de travail agréable, agrémenté d'événements collectifs pour renforcer la cohésion de nos équipes (suis-nous sur LinkedIn pour en savoir plus).

Le salaire est à négocier selon l'expérience.

Dans le cadre de sa politique RSE, le Groupe SAM OUTILLAGE étudie, à compétences égales, toutes candidatures.

Si tu aimes le challenge et souhaites évoluer au sein d'une société dynamique et à taille humaine, viens rejoindre notre Equipe !",204QSMY,CHARGE(E) DE DATA MARKETING & COMMUNICATION - H/F (H/F),M1718,Chargé / Chargée de marketing digital,Chef / Cheffe de projet marketing digital,CDD,Contrat travail,E,2 An(s),42 - ST ETIENNE,42000.0,42218.0,45.436009,4.436569,,,,,"35H/semaine
Travail en journée",False,1,SAM OUTILLAGE,Fabrication d'autres outillages,2026-02-26T17:01:24.718Z,2026-02-27T08:45:11.408Z,
"LECASUD recrute un(e) expert(e) DATA 
Missions principales
Au sein de la DSI, vous serez en charge de :

Conception et développement d'outils de contrôle de données :

Mettre en place des solutions pour garantir la cohérence des données entre les logiciels.
Automatiser les processus métiers pour améliorer l'efficacité opérationnelle.
Collaboration avec les équipes métiers :

Participer à la définition des besoins, au développement, au déploiement et au support des outils.
Rédiger les cahiers des charges et les spécifications techniques.
Documentation et amélioration continue :

Documenter les processus existants et cibles après développement.
Identifier les règles de validation de cohérence et mettre en place des contrôles automatiques.
Gestion des exceptions et optimisation :

Implémenter des solutions robustes pour gérer les données manquantes, les erreurs de format, etc.
Délivrer un code optimisé, documenté et conforme aux règles de sécurité et d'architecture.
Support et communication :

Assurer le support utilisateur et la surveillance des flux.
Communiquer clairement sur les limites et les capacités des solutions proposées.
Culture de l'amélioration continue :

Participer à la diffusion d'une culture axée sur l'amélioration continue des données et des systèmes d'information.
Profil recherché
Compétences techniques :

Langages et bases de données : Maîtrise de SQL, PostgreSQL, Progress, et Python.
Outils de gestion de versions : Expérience avec GitLab.
Connaissances appréciées : Supply Chain Data, GCP (Google Cloud Platform), Tableau.
Compétences humaines :

Qualités rédactionnelles et relationnelles : Capacité à travailler dans un environnement exigeant.
Organisation et gestion des priorités : Maîtrise des délais et des priorités.
Analyse et proactivité : Aptitude à analyser, anticiper et proposer des solutions innovantes.
Autonomie et rigueur : Capacité à travailler de manière autonome et rigoureuse.
Travail d'équipe et communication : Diplomatie, aisance relationnelle et maîtrise de la communication orale et écrite.
Adaptabilité et réactivité : Capacité à faire face aux aléas et aux dysfonctionnements.
Formation et expérience :

Diplôme : Bac +5 en informatique.
Expérience : 3 à 5 ans (hors alternance/stage) dans un poste similaire.
Avantages de l'entreprise
Rémunération attractive : 42 k€ à 46 k€ bruts annuels selon expérience + intéressement (jusqu'à 1 mois de salaire supplémentaire).
Avantages sociaux : Mutuelle, prévoyance collective, parcours d'intégration personnalisé.
Environnement de travail : Entreprise en constante évolution avec des perspectives de carrière interne.
Culture d'entreprise : Performance collective récompensée, innovation et amélioration continue au cœur de nos valeurs.
Rejoignez-nous si vous aimez les défis et souhaitez contribuer à la transformation de nos systèmes d'information !

POUR POSTULER >> Se présenter au FORUM AU COEUR DE L'EMPLOI du Mardi 03 mars 2026 de 09H00 à 12H00 à l'Espace Jean-Louis DIEUX au Luc en Provence avec un CV à jour.
",204QDGQ,Expert DATA (H/F),M1811,Data engineer,Ingénieur / Ingénieure big data,CDI,Contrat travail,E,3 An(s),83 - LE LUC,83340.0,83073.0,43.394515,6.313219,Annuel de 42000.00 Euros à 46000.00 Euros sur 12 mois,,,,"35H/semaine
Travail selon un rythme irrégulier et des pics d'activité",False,1,FORUM DE L EMPLOI LE LUC 03/03/2026,Centrales d'achat alimentaires,2026-02-26T11:28:31.164Z,2026-02-27T20:45:43.557Z,42000.0
"Contexte de la mission
Dans le cadre d'un besoin à pourvoir au plus tôt pour le compte de l'un de nos clients du secteur aéronautique en région PACA, nous recherchons un Data Scientist Senior / Expert Data afin d'intervenir sur des projets à forte valeur ajoutée liés à l'exploitation et à la valorisation de la donnée.

Missions principales
Développement, entraînement et optimisation de modèles de Machine Learning
Analyse et exploitation de données complexes et volumineuses
Conception et mise en place de pipelines de traitement de données
Industrialisation des modèles et des solutions data
Collaboration avec les équipes métiers et IT pour la compréhension des besoins
Rédaction de documentation technique et présentation des résultats

Compétences techniques requises
Maîtrise avancée de Python
Expérience significative avec Spark
Solides compétences en Machine Learning
Bonne connaissance des environnements Big Data
Capacité à travailler sur des architectures distribuées

Profil recherché
Formation Bac +5 en Data Science, Informatique, Mathématiques appliquées, Intelligence Artificielle ou équivalent
Minimum 5 ans d'expérience en Data Science
Expérience en environnement industriel, idéalement aéronautique

Compétences comportementales
Rigueur et autonomie
Esprit d'analyse et de synthèse
Capacité à vulgariser des sujets techniques
Bon relationnel et capacité à travailler en équipe
Bonne communication écrite et orale en français et en anglais",204PTQP,Data Scientist Senior / Expert Data (H/F),M1405,Data scientist,Ingénieur / Ingénieure data scientist,CDI,Contrat travail,E,5 An(s),13 - MARIGNANE,13700.0,13054.0,43.407483,5.255358,Annuel de 38000.0 Euros à 42000.0 Euros sur 12.0 mois,,,,"39H/semaine
Travail en journée",False,1,CARE TECHNOLOGY CONSULTING,"Ingénierie,études techniques",2026-02-26T08:45:46.372Z,2026-02-26T10:00:35.466Z,
"Dans le cadre d'un programme de transformation Data d'envergure, nous recherchons un Tech Lead Data confirmé disposant d'une forte expertise sur Databricks et Power BI.

Localisation : Paris La Défense  
Démarrage : dès que possible
Rythme : 3 jours sur site par semaine  

Vos missions :
- Concevoir et développer des solutions Data sous Databricks  
- Encadrer techniquement les développements et garantir les bonnes pratiques  
- Concevoir et optimiser des rapports et tableaux de bord Power BI  
- Participer aux choix d'architecture Data sur environnement AWS  
- Assurer la qualité, la performance et la maintenabilité des solutions livrées  
- Collaborer avec les équipes métiers et techniques  

Environnement technique :
- Databricks (expert - certification impérative)  
- Power BI (expert)  
- Cloud AWS  
- Architecture Data / Data Lake / Lakehouse  

Profil recherché :
- Expérience significative (10 ans et plus) en développement et conception Data  
- Solide expertise Databricks et Power BI  
- Bonne maîtrise des environnements Cloud AWS  
- Capacité à encadrer techniquement une équipe  
- Autonomie, rigueur et sens du service  
- Anglais professionnel requis",204PRFX,Tech Lead Data - Databricks / Power BI (H/F),H1206,Ingénieur / Ingénieure R&D en industrie,Ingénieur / Ingénieure d'études-développement,CDI,Contrat travail,E,5 An(s),92 - Puteaux,92800.0,92062.0,48.884019,2.237979,Annuel de 45000.0 Euros à 50000.0 Euros sur 12.0 mois,,,,"35H/semaine
Travail en journée",False,1,CIORANE,Conseil en systèmes et logiciels informatiques,2026-02-25T19:47:10.276Z,2026-02-26T14:51:43.148Z,
